codiabs,nom,casos des de l'1 juny,casos ultims 14 dies,homes(des de juny),dones(des de juny),poblacio,casos/100000 total,casos/100000 ultims 14 dies,
394,Roquetes-Canyelles,120.00,27.00,52.00,68.00,18491.00,649.00,146.00,
235,Sitges,245.00,20.00,125.00,120.00,25321.00,967.60,79.00,
366,Santa Coloma de Gramenet 6,270.00,28.00,129.00,141.00,28489.00,947.70,98.30,
265,Viladecans-1,308.00,39.00,150.00,158.00,24164.00,1274.60,161.40,
122,Gavà-1,273.00,33.00,121.00,152.00,19487.00,1400.90,169.30,
401,Viladecans 3,336.00,77.00,167.00,169.00,23510.00,1429.20,327.50,
393,Ribes-Olivella,129.00,19.00,71.00,58.00,19128.00,674.40,99.30,
373,Alt Mogent,143.00,10.00,57.00,86.00,6921.00,2066.20,144.50,
375,Lleida 7 (Onze de Setembre),110.00,21.00,54.00,56.00,12673.00,868.00,165.70,
374,Begues,178.00,31.00,76.00,102.00,21226.00,838.60,146.00,
367,Abrera,141.00,29.00,67.00,74.00,11422.00,1234.50,253.90,
160,Molins de Rei,316.00,60.00,123.00,193.00,29941.00,1055.40,200.40,
363,Sant Quirze del Vallès,144.00,21.00,62.00,82.00,18110.00,795.10,116.00,
81,Bellpuig,150.00,18.00,74.00,76.00,7149.00,2098.20,251.80,
245,Tàrrega,354.00,35.00,173.00,181.00,23779.00,1488.70,147.20,
106,Cervera,495.00,81.00,217.00,278.00,20788.00,2381.20,389.60,
88,Calaf,45.00,6.00,21.00,24.00,6769.00,664.80,88.60,
403,Barcelona 8L,444.00,42.00,207.00,237.00,29414.00,1509.50,142.80,
113,Deltebre,70.00,18.00,39.00,31.00,14934.00,468.70,120.50,
167,Navàs-Balsareny,106.00,20.00,47.00,59.00,9582.00,1106.20,208.70,
200,Sallent,85.00,1.00,37.00,48.00,6684.00,1271.70,15.00,
314,Baix Penedès interior,79.00,25.00,38.00,41.00,15102.00,523.10,165.50,
333,Alt Camp Oest,19.00,4.00,7.00,12.00,6266.00,303.20,63.80,
263,Valls urbà,193.00,9.00,102.00,91.00,27243.00,708.40,33.00,
125,Girona-2,778.00,140.00,376.00,402.00,32952.00,2361.00,424.90,
10,Argentona,154.00,45.00,73.00,81.00,17754.00,867.40,253.50,
164,Montornès-Montmeló,425.00,57.00,193.00,232.00,33005.00,1287.70,172.70,
355,"Roca del Vallès, la",93.00,21.00,47.00,46.00,10398.00,894.40,202.00,
286,Granollers-3 Centre Est,515.00,73.00,259.00,256.00,29228.00,1762.00,249.80,
234,Sils-Vidreres-Maçanet de la Selva,152.00,32.00,67.00,85.00,22804.00,666.50,140.30,
115,Esparreguera,233.00,31.00,106.00,127.00,27678.00,841.80,112.00,
360,Martorell Rural,233.00,31.00,118.00,115.00,27407.00,850.10,113.10,
337,Capellades,93.00,12.00,44.00,49.00,10409.00,893.50,115.30,
338,Piera,112.00,10.00,54.00,58.00,18081.00,619.40,55.30,
218,Sant Sadurní d'Anoia,113.00,15.00,53.00,60.00,22216.00,508.60,67.50,
216,Sant Just Desvern,205.00,28.00,97.00,108.00,18224.00,1124.90,153.60,
162,Montblanc,78.00,14.00,35.00,43.00,15820.00,493.00,88.50,
228,Santa Coloma de Queralt,22.00,2.00,11.00,11.00,3271.00,672.60,61.10,
221,Santa Coloma de Farners,136.00,22.00,73.00,63.00,16550.00,821.80,132.90,
128,Baix Berguedà,86.00,29.00,43.00,43.00,11640.00,738.80,249.10,
82,Berga,193.00,67.00,90.00,103.00,21536.00,896.20,311.10,
130,Alt Berguedà,32.00,11.00,16.00,16.00,4712.00,679.10,233.40,
3,Alfarràs-Almenar,226.00,19.00,105.00,121.00,9668.00,2337.60,196.50,
141,Lleida rural-1 Nord,601.00,41.00,278.00,323.00,23797.00,2525.50,172.30,
8,Arbúcies-Sant Hilari,120.00,7.00,65.00,55.00,12358.00,971.00,56.60,
330,Breda-Hostalric,65.00,12.00,34.00,31.00,12941.00,502.30,92.70,
252,Terrassa-F,709.00,175.00,340.00,369.00,42903.00,1652.60,407.90,
194,Sabadell-3B,259.00,45.00,130.00,129.00,16259.00,1593.00,276.80,
382,Cerdanyola-Ripollet,0.00,#N/D,0.00,0.00,#N/D,#N/D,#N/D,
55,Barcelona-7E,577.00,45.00,230.00,347.00,31316.00,1842.50,143.70,
104,Cerdanyola del Vallès-1,259.00,49.00,118.00,141.00,23991.00,1079.60,204.20,
105,Cerdanyola del Vallès-2,289.00,48.00,141.00,148.00,23995.00,1204.40,200.00,
381,Barcelona 3H,0.00,#N/D,0.00,0.00,#N/D,#N/D,#N/D,
282,Badalona-11,200.00,35.00,95.00,105.00,23217.00,861.40,150.80,
210,Sant Feliu de Llobregat-2,333.00,51.00,165.00,168.00,26671.00,1248.50,191.20,
389,Sant Cugat del Vallès 2,233.00,68.00,117.00,116.00,31770.00,733.40,214.00,
45,Barcelona-5D,178.00,35.00,92.00,86.00,19296.00,922.50,181.40,
298,L'Hospitalet de Llobregat-11,156.00,16.00,86.00,70.00,8697.00,1793.70,184.00,
34,Barcelona-3C,330.00,24.00,157.00,173.00,15289.00,2158.40,157.00,
297,L'Hospitalet de Llobregat-10,208.00,29.00,90.00,118.00,10396.00,2000.80,279.00,
63,Barcelona-8G,378.00,31.00,146.00,232.00,17207.00,2196.80,180.20,
378,Sant Vicenç dels Horts 1,131.00,21.00,68.00,63.00,16552.00,791.40,126.90,
5,Anglès,190.00,61.00,96.00,94.00,12109.00,1569.10,503.80,
199,Salt,1014.00,254.00,483.00,531.00,43416.00,2335.50,585.00,
145,Manresa-1,213.00,23.00,113.00,100.00,22195.00,959.70,103.60,
148,Manresa-4,238.00,40.00,100.00,138.00,22738.00,1046.70,175.90,
250,Terrassa-D,518.00,115.00,243.00,275.00,33123.00,1563.90,347.20,
356,Terrassa-G,404.00,85.00,198.00,206.00,25320.00,1595.60,335.70,
189,Roses,179.00,29.00,98.00,81.00,33008.00,542.30,87.90,
345,Sabadell-4B,242.00,46.00,113.00,129.00,24233.00,998.60,189.80,
248,Terrassa-B,508.00,174.00,228.00,280.00,27907.00,1820.30,623.50,
